url,title,date,author,text
https://www.aljazeera.com/features/longform/2025/5/19/a-fathers-fight-to-find-out-what-happened-to-his-son-who-joined-isis,To love a child who joined ISIS,No date,No author,A story of a father bearing the weight of his son'...
https://www.aljazeera.com/news/2025/5/18/pope-leo-xiv-meets-ukraines-zelenskyy-after-his-inaugural-mass,Pope Leo XIV meets Ukraine’s Zelenskyy after his inaugural Mass,No date,No author,"Pontiff calls for peace and unity at the service, ..."
https://www.aljazeera.com/gallery/2025/5/19/dr-congos-coltan-miners-struggle-as-they-dig-to-feed-worlds-tech,DR Congo’s coltan miners struggle as they dig to feed world’s tech,No date,No author,"In Pictures
Despite global thirst for key tech mat..."
https://www.aljazeera.com/news/liveblog/2025/5/19/live-israel-kills-144-palestinians-targets-north-gaza-hospital?update=3720778,LIVE: Israeli army issues forced displacement order for Gaza’s Khan Younis,No date,No author,"Israeli military orders the evacuation of Gaza’s second-largest city of Khan Younis as its offensive escalates.
Gaza hospitals under siege and attack
Follow Al Jazeera English:"
https://www.aljazeera.com/sports/2025/5/19/thunder-vs-nuggets-okc-win-game-7-reach-western-conference-finals,"Thunder vs Nuggets: OKC win Game 7, reach Western Conference finals",No date,No author,Oklahoma City Thunder dominate Game 7 playoff deci...
https://www.aljazeera.com/news/2025/5/18/mexican-navy-ship-crashes-into-brooklyn-bridge-in-new-york-nineteen-injured,"Mexican Navy ship crashes into New York’s Brooklyn Bridge, killing 2 people",No date,No author,New York City Mayor Eric Adams says 19 others were...
https://www.aljazeera.com/news/2025/5/18/eu-uk-leaders-to-speak-with-trump-before-his-putin-call-as-ukraine-hit,"EU, UK leaders speak with Trump before his Putin call as Ukraine hit",No date,No author,Leaders discuss an unconditional ceasefire and mor...
https://www.aljazeera.com/features/2025/5/17/exploding-inequality-the-fight-for-the-hearts-and-minds-of-polands-left,‘Exploding inequality’: The fight for the hearts and minds of Poland’s left,No date,No author,"As Poland picks its new president, the country’s l..."
https://www.aljazeera.com/news/liveblog/2025/5/19/live-israel-kills-144-palestinians-targets-north-gaza-hospital,LIVE: Israeli army issues forced displacement order for Gaza’s Khan Younis,No date,No author,"Israeli military orders the evacuation of Gaza’s second-largest city of Khan Younis as its offensive escalates.
Gaza hospitals under siege and attack
Follow Al Jazeera English:"
https://www.aljazeera.com/economy/2025/5/19/chinas-industrial-output-retail-sales-dip-amid-us-trade-tensions,"China’s industrial output, retail sales dip amid US trade tensions",No date,No author,"Despite slowdown, data points to reliance of Chine..."
https://www.aljazeera.com/news/2025/5/17/irans-leaders-slam-trump-for-disgraceful-remarks-during-middle-east-tour,Iran’s leaders slam Trump for ‘disgraceful’ remarks during Middle East tour,No date,No author,The pushback comes after the US president accused ...
